Year,Mounth,Value,Anomaly
1995,01,48.0,2.6
1995,02,53.2,3.8
1995,03,56.5,0.2
1995,04,63.8,-1.0
1995,05,72.4,-0.1
1995,06,77.4,-2.2
1995,07,82.7,0.4
1995,08,82.2,0.3
1995,09,75.4,-0.5
1995,10,66.3,0.2
1995,11,55.9,1.3
1995,12,48.8,1.9
1996,01,45.9,0.5
1996,02,52.9,3.5
1996,03,53.1,-3.2
1996,04,64.5,-0.3
1996,05,78.5,6.0
1996,06,81.1,1.5
1996,07,83.6,1.3
1996,08,80.3,-1.6
1996,09,73.9,-2.0
1996,10,65.8,-0.3
1996,11,55.9,1.3
1996,12,49.8,2.9
1997,01,44.9,-0.5
1997,02,49.0,-0.4
1997,03,59.4,3.1
1997,04,59.7,-5.1
1997,05,70.5,-2.0
1997,06,77.6,-2.0
1997,07,82.7,0.4
1997,08,81.8,-0.1
1997,09,78.0,2.1
1997,10,66.0,-0.1
1997,11,52.5,-2.1
1997,12,45.0,-1.9
1998,01,50.6,5.2
1998,02,51.1,1.7
1998,03,55.0,-1.3
1998,04,63.0,-1.8
1998,05,77.2,4.7
1998,06,83.9,4.3
1998,07,86.4,4.1
1998,08,82.3,0.4
1998,09,79.5,3.6
1998,10,68.5,2.4
1998,11,58.5,3.9
1998,12,48.2,1.3
1999,01,50.3,4.9
1999,02,56.6,7.2
1999,03,57.6,1.3
1999,04,66.9,2.1
1999,05,72.8,0.3
1999,06,79.2,-0.4
1999,07,81.8,-0.5
1999,08,84.3,2.4
1999,09,75.8,-0.1
1999,10,65.8,-0.3
1999,11,59.6,5.0
1999,12,48.6,1.7
2000,01,50.7,5.3
2000,02,57.0,7.6
2000,03,61.4,5.1
2000,04,66.1,1.3
2000,05,76.9,4.4
2000,06,78.6,-1.0
2000,07,84.1,1.8
2000,08,84.2,2.3
2000,09,78.1,2.2
2000,10,67.2,1.1
2000,11,51.1,-3.5
2000,12,42.4,-4.5
2001,01,43.9,-1.5
2001,02,51.9,2.5
2001,03,53.3,-3.0
2001,04,67.8,3.0
2001,05,74.1,1.6
2001,06,80.9,1.3
2001,07,85.1,2.8
2001,08,82.8,0.9
2001,09,74.9,-1.0
2001,10,65.4,-0.7
2001,11,58.9,4.3
2001,12,49.4,2.5
2002,01,48.7,3.3
2002,02,47.1,-2.3
2002,03,55.4,-0.9
2002,04,69.1,4.3
2002,05,74.0,1.5
2002,06,80.6,1.0
2002,07,80.9,-1.4
2002,08,82.8,0.9
2002,09,76.0,0.1
2002,10,64.9,-1.2
2002,11,53.0,-1.6
2002,12,47.8,0.9
2003,01,46.2,0.8
2003,02,48.3,-1.1
2003,03,57.2,0.9
2003,04,66.6,1.8
2003,05,75.8,3.3
2003,06,78.5,-1.1
2003,07,82.1,-0.2
2003,08,82.9,1.0
2003,09,73.9,-2.0
2003,10,67.4,1.3
2003,11,58.0,3.4
2003,12,49.1,2.2
2004,01,48.9,3.5
2004,02,47.4,-2.0
2004,03,61.8,5.5
2004,04,64.3,-0.5
2004,05,73.7,1.2
2004,06,78.7,-0.9
2004,07,80.7,-1.6
2004,08,79.2,-2.7
2004,09,75.2,-0.7
2004,10,69.7,3.6
2004,11,55.7,1.1
2004,12,47.6,0.7
2005,01,50.7,5.3
2005,02,51.9,2.5
2005,03,56.5,0.2
2005,04,64.3,-0.5
2005,05,71.8,-0.7
2005,06,80.5,0.9
2005,07,82.4,0.1
2005,08,81.3,-0.6
2005,09,79.9,4.0
2005,10,66.4,0.3
2005,11,58.7,4.1
2005,12,47.2,0.3
2006,01,52.9,7.5
2006,02,50.2,0.8
2006,03,61.1,4.8
2006,04,70.7,5.9
2006,05,75.7,3.2
2006,06,80.8,1.2
2006,07,83.4,1.1
2006,08,83.6,1.7
2006,09,74.1,-1.8
2006,10,66.8,0.7
2006,11,57.9,3.3
2006,12,48.2,1.3
2007,01,42.5,-2.9
2007,02,49.4,0.0
2007,03,61.9,5.6
2007,04,61.7,-3.1
2007,05,71.4,-1.1
2007,06,77.9,-1.7
2007,07,79.0,-3.3
2007,08,81.8,-0.1
2007,09,77.1,1.2
2007,10,68.6,2.5
2007,11,57.6,3.0
2007,12,49.2,2.3
2008,01,46.1,0.7
2008,02,53.2,3.8
2008,03,58.4,2.1
2008,04,65.3,0.5
2008,05,74.3,1.8
2008,06,82.9,3.3
2008,07,81.7,-0.6
2008,08,80.8,-1.1
2008,09,73.3,-2.6
2008,10,65.4,-0.7
2008,11,56.8,2.2
2008,12,48.2,1.3
2009,01,47.9,2.5
2009,02,55.5,6.1
2009,03,59.5,3.2
2009,04,64.8,0.0
2009,05,73.6,1.1
2009,06,81.7,2.1
2009,07,84.1,1.8
2009,08,83.3,1.4
2009,09,74.1,-1.8
2009,10,64.2,-1.9
2009,11,57.3,2.7
2009,12,43.1,-3.8
2010,01,44.4,-1.0
2010,02,44.0,-5.4
2010,03,54.8,-1.5
2010,04,65.0,0.2
2010,05,73.8,1.3
2010,06,82.7,3.1
2010,07,81.4,-0.9
2010,08,84.4,2.5
2010,09,77.7,1.8
2010,10,67.2,1.1
2010,11,56.6,2.0
2010,12,49.2,2.3
2011,01,45.0,-0.4
2011,02,48.7,-0.7
2011,03,61.8,5.5
2011,04,70.3,5.5
2011,05,74.1,1.6
2011,06,85.2,5.6
2011,07,87.0,4.7
2011,08,88.2,6.3
2011,09,77.9,2.0
2011,10,66.9,0.8
2011,11,56.9,2.3
2011,12,46.1,-0.8
2012,01,50.4,5.0
2012,02,51.8,2.4
2012,03,63.2,6.9
2012,04,70.2,5.4
2012,05,75.5,3.0
2012,06,82.4,2.8
2012,07,83.4,1.1
2012,08,83.7,1.8
2012,09,76.6,0.7
2012,10,65.9,-0.2
2012,11,59.0,4.4
2012,12,51.1,4.2
2013,01,47.9,2.5
2013,02,51.7,2.3
2013,03,57.2,0.9
2013,04,63.0,-1.8
2013,05,72.5,0.0
2013,06,81.8,2.2
2013,07,81.3,-1.0
2013,08,83.3,1.4
2013,09,78.2,2.3
2013,10,66.7,0.6
2013,11,52.9,-1.7
2013,12,44.8,-2.1
2014,01,44.5,-0.9
2014,02,48.4,-1.0
2014,03,54.8,-1.5
2014,04,65.4,0.6
2014,05,72.0,-0.5
2014,06,80.6,1.0
2014,07,81.7,-0.6
2014,08,82.6,0.7
2014,09,76.4,0.5
2014,10,69.6,3.5
2014,11,51.5,-3.1
2014,12,50.7,3.8
2015,01,44.0,-1.4
2015,02,48.2,-1.2
