Date,Average,Maximum,Minimum
197801,3.5,9.333333333,-2.333333333
197802,4.888888889,10.66666667,-0.944444444
197803,13,20.94444444,5.166666667
197804,19.88888889,27.44444444,12.33333333
197805,23.33333333,30.27777778,16.38888889
197806,26.77777778,33.5,20.11111111
197807,29.22222222,36.44444444,22.05555556
197808,27.22222222,33.77777778,20.66666667
197809,24.16666667,29.61111111,18.72222222
197810,18.61111111,25.94444444,11.22222222
197811,13.61111111,19.11111111,8.055555556
197812,7.555555556,14.44444444,0.611111111
197901,2.888888889,8.222222222,-2.388888889
197902,7.611111111,14.16666667,1
197903,13.83333333,20.44444444,7.166666667
197904,18.11111111,24.77777778,11.38888889
197905,21,27.66666667,14.33333333
197906,25.11111111,31.44444444,18.72222222
197907,27.72222222,34.05555556,21.44444444
197908,26.44444444,32.94444444,19.88888889
197909,23.38888889,30.77777778,16.05555556
197910,20.38888889,28.94444444,11.83333333
197911,10.66666667,18,3.333333333
197912,8.666666667,15.77777778,1.611111111
198001,8.277777778,14.61111111,2
198002,8.888888889,16.11111111,1.611111111
198003,12.88888889,20.55555556,5.166666667
198004,16.94444444,25.05555556,8.833333333
198005,22.33333333,28.77777778,15.83333333
198006,28.33333333,35.33333333,21.33333333
198007,30.05555556,37.66666667,22.44444444
198008,28.33333333,35.05555556,21.61111111
198009,25.38888889,31.5,19.22222222
198010,17.66666667,25.05555556,10.22222222
198011,11.16666667,18,4.333333333
198012,9.611111111,16.33333333,2.888888889
198101,7.722222222,14.27777778,1.166666667
198102,9.888888889,16.88888889,2.888888889
198103,13,19.33333333,6.722222222
198104,20,26.27777778,13.72222222
198105,21.61111111,28.16666667,15.05555556
198106,26.27777778,32.33333333,20.22222222
198107,28.05555556,34.33333333,21.72222222
198108,26.88888889,33.38888889,20.33333333
198109,23.88888889,30.61111111,17.11111111
198110,19,24.88888889,13.05555556
198111,14.16666667,21.83333333,6.555555556
198112,9.333333333,16.66666667,1.944444444
198201,7.833333333,15.66666667,0
198202,8,14.72222222,1.333333333
198203,14.94444444,21.61111111,8.277777778
198204,17.77777778,24.44444444,11.11111111
198205,21.94444444,28,15.88888889
198206,25.66666667,32.11111111,19.22222222
198207,28.16666667,34.72222222,21.61111111
198208,28.44444444,35.33333333,21.55555556
198209,25,32.33333333,17.61111111
198210,18.66666667,25.83333333,11.44444444
198211,12.61111111,18.77777778,6.444444444
198212,8.611111111,14.66666667,2.555555556
198301,6.666666667,12.94444444,0.444444444
198302,9.166666667,15.5,2.777777778
198303,12.83333333,19.66666667,6
198304,15.94444444,23.38888889,8.444444444
198305,21.5,28.72222222,14.33333333
198306,24.83333333,31.5,18.16666667
198307,27.77777778,34.27777778,21.27777778
198308,28.22222222,35.05555556,21.38888889
198309,24.83333333,31.83333333,17.77777778
198310,19.72222222,26.27777778,13.11111111
198311,14.16666667,21.05555556,7.277777778
198312,3.555555556,9.888888889,-2.833333333
198401,5.388888889,11.66666667,-0.888888889
198402,10.22222222,18.38888889,2.055555556
198403,13.88888889,21.33333333,6.444444444
198404,18,26.16666667,9.888888889
198405,23.27777778,30.66666667,15.88888889
198406,26.61111111,33.05555556,20.22222222
198407,27.66666667,34.61111111,20.66666667
198408,27.61111111,34.44444444,20.72222222
198409,23.16666667,29.94444444,16.38888889
198410,18.66666667,24.11111111,13.16666667
198411,12.5,18.94444444,6.055555556
198412,11.55555556,17.22222222,5.888888889
198501,4.611111111,11.11111111,-1.888888889
198502,7.611111111,13.72222222,1.5
198503,15.22222222,21.22222222,9.222222222
198504,19.22222222,26.16666667,12.33333333
198505,23.11111111,30,16.22222222
198506,25.72222222,32.22222222,19.16666667
198507,27.22222222,34.05555556,20.38888889
198508,28.55555556,35.88888889,21.22222222
198509,24.44444444,31.05555556,17.83333333
198510,19.11111111,24.72222222,13.44444444
198511,14.22222222,20.5,7.944444444
198512,6.722222222,14.11111111,-0.722222222
198601,9.388888889,17.44444444,1.277777778
198602,11.77777778,19,4.555555556
198603,15.38888889,23.44444444,7.388888889
198604,20.27777778,27.16666667,13.33333333
198605,22.38888889,28.88888889,15.88888889
198606,25.77777778,31.55555556,20.05555556
198607,28.22222222,35.05555556,21.38888889
198608,27.22222222,33.66666667,20.72222222
198609,25.11111111,30.55555556,19.66666667
198610,18.05555556,23.83333333,12.27777778
198611,12.11111111,18.05555556,6.166666667
198612,7.722222222,12.77777778,2.666666667
198701,7.222222222,13.88888889,0.555555556
