Year,Mounth,Value,Anomaly
1995,01,36.2,3.1
1995,02,39.9,3.2
1995,03,45.1,1.8
1995,04,50.3,-1.5
1995,05,60.9,0.7
1995,06,65.3,-2.2
1995,07,70.3,0.0
1995,08,70.8,1.3
1995,09,63.9,0.2
1995,10,51.6,-1.7
1995,11,42.5,0.5
1995,12,37.0,2.2
1996,01,30.8,-2.3
1996,02,38.7,2.0
1996,03,38.8,-4.5
1996,04,49.4,-2.4
1996,05,66.0,5.8
1996,06,68.8,1.3
1996,07,71.9,1.6
1996,08,69.8,0.3
1996,09,62.9,-0.8
1996,10,53.1,-0.2
1996,11,43.9,1.9
1996,12,36.4,1.6
1997,01,33.7,0.6
1997,02,38.9,2.2
1997,03,46.7,3.4
1997,04,48.1,-3.7
1997,05,59.0,-1.2
1997,06,66.4,-1.1
1997,07,70.8,0.5
1997,08,69.8,0.3
1997,09,65.6,1.9
1997,10,53.9,0.6
1997,11,40.8,-1.2
1997,12,33.2,-1.6
1998,01,38.1,5.0
1998,02,39.4,2.7
1998,03,42.7,-0.6
1998,04,48.7,-3.1
1998,05,63.2,3.0
1998,06,70.8,3.3
1998,07,73.6,3.3
1998,08,70.6,1.1
1998,09,68.1,4.4
1998,10,57.7,4.4
1998,11,48.1,6.1
1998,12,36.7,1.9
1999,01,36.5,3.4
1999,02,42.2,5.5
1999,03,45.7,2.4
1999,04,54.1,2.3
1999,05,60.9,0.7
1999,06,68.8,1.3
1999,07,70.6,0.3
1999,08,71.1,1.6
1999,09,62.8,-0.9
1999,10,51.0,-2.3
1999,11,44.7,2.7
1999,12,35.0,0.2
2000,01,37.3,4.2
2000,02,43.0,6.3
2000,03,48.4,5.1
2000,04,52.7,0.9
2000,05,64.6,4.4
2000,06,68.6,1.1
2000,07,71.3,1.0
2000,08,70.7,1.2
2000,09,63.4,-0.3
2000,10,57.0,3.7
2000,11,40.8,-1.2
2000,12,31.5,-3.3
2001,01,33.5,0.4
2001,02,40.4,3.7
2001,03,42.6,-0.7
2001,04,55.6,3.8
2001,05,61.8,1.6
2001,06,68.5,1.0
2001,07,72.7,2.4
2001,08,70.9,1.4
2001,09,63.1,-0.6
2001,10,51.7,-1.6
2001,11,47.9,5.9
2001,12,37.4,2.6
2002,01,35.7,2.6
2002,02,33.7,-3.0
2002,03,41.7,-1.6
2002,04,57.5,5.7
2002,05,61.4,1.2
2002,06,68.8,1.3
2002,07,70.6,0.3
2002,08,71.0,1.5
2002,09,63.9,0.2
2002,10,55.6,2.3
2002,11,41.0,-1.0
2002,12,36.3,1.5
2003,01,33.7,0.6
2003,02,37.3,0.6
2003,03,44.5,1.2
2003,04,52.9,1.1
2003,05,63.3,3.1
2003,06,66.9,-0.6
2003,07,70.5,0.2
2003,08,70.6,1.1
2003,09,62.9,-0.8
2003,10,55.0,1.7
2003,11,46.7,4.7
2003,12,34.8,0.0
2004,01,37.7,4.6
2004,02,36.3,-0.4
2004,03,50.8,7.5
2004,04,53.0,1.2
2004,05,62.0,1.8
2004,06,67.7,0.2
2004,07,69.6,-0.7
2004,08,67.8,-1.7
2004,09,63.5,-0.2
2004,10,59.0,5.7
2004,11,45.7,3.7
2004,12,34.8,0.0
2005,01,39.6,6.5
2005,02,42.6,5.9
2005,03,43.7,0.4
2005,04,50.3,-1.5
2005,05,60.1,-0.1
2005,06,68.1,0.6
2005,07,70.3,0.0
2005,08,69.7,0.2
2005,09,66.6,2.9
2005,10,53.7,0.4
2005,11,44.0,2.0
2005,12,33.1,-1.7
2006,01,37.5,4.4
2006,02,36.2,-0.5
2006,03,48.7,5.4
2006,04,57.0,5.2
2006,05,62.2,2.0
2006,06,67.6,0.1
2006,07,71.4,1.1
2006,08,71.7,2.2
2006,09,61.9,-1.8
2006,10,54.2,0.9
2006,11,44.1,2.1
2006,12,36.3,1.5
2007,01,33.0,-0.1
2007,02,36.5,-0.2
2007,03,50.0,6.7
2007,04,49.4,-2.4
2007,05,61.2,1.0
2007,06,67.2,-0.3
2007,07,69.1,-1.2
2007,08,71.0,1.5
2007,09,66.1,2.4
2007,10,54.6,1.3
2007,11,44.8,2.8
2007,12,35.6,0.8
2008,01,33.2,0.1
2008,02,38.0,1.3
2008,03,44.2,0.9
2008,04,50.9,-0.9
2008,05,61.4,1.2
2008,06,70.3,2.8
2008,07,70.1,-0.2
2008,08,69.8,0.3
2008,09,61.4,-2.3
2008,10,51.5,-1.8
2008,11,42.6,0.6
2008,12,34.3,-0.5
2009,01,32.7,-0.4
2009,02,40.6,3.9
2009,03,46.3,3.0
2009,04,51.1,-0.7
2009,05,61.5,1.3
2009,06,69.1,1.6
2009,07,71.8,1.5
2009,08,70.6,1.1
2009,09,63.2,-0.5
2009,10,52.7,-0.6
2009,11,43.6,1.6
